SITE_ID,BASIN,PLOT,TAG,SPP,AZ,SDIST,HDST,DBH (CM),DBH (INCHES),HT,LCH,LIVING OR DC,HEALTH,CROWN,DAM1,DAM2,DAM3,COND,COND2,LE_ANG,WILDLIFE USE,REMARKS,,,,,
C1-7VB,C1,7,272,TSHE,39,17.5,16.1,41.4,16.3,,,L,N,3,460,,,None,,,,"TGT W/ SNAG NOT INCLUDED IN DBH, MANY MUSHROOMS",,,,,
C1-7VB,C1,7,273,TSHE,39,10.1,9.2,47.5,18.7,22.9,15.9,L,Y,3,None,,,None,,,,"SMALL SNAG AT BASE, NOT BIG ENOUGH TO MEASURE",,,,,
C1-7VB,C1,7,274,TSHE,39,5.3,4.8,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,275,TSHE,49,16.0,14.7,41.1,16.2,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,276,TSHE,59,13.9,12.5,38.4,15.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,277,TSHE,62,1.7,1.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,278,TSHE,65,17.9,16.6,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,279,TSHE,75,12.7,11.9,39.6,15.6,,,L,Y,3,460,,,FK2,,,,"CRACKS IN BOWL, FORKS INTO 3 NEAR TOP",,,,,
C1-7VB,C1,7,280,TSHE,77,14.1,13.3,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,281,TSHE,103,13.7,13.3,45.7,18.0,,,L,Y,3,460,,,None,,,,,,,,,
C1-7VB,C1,7,283,TSHE,109,3.2,3.2,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,284,THPL,111,10.8,10.7,19.1,7.5,,,L,Y,5,None,,,None,,,,,,,,,
C1-7VB,C1,7,286,TSHE,117,17.9,17.6,40.4,15.9,,,L,Y,3,460,,,None,,,,,,,,,
C1-7VB,C1,7,287,TSHE,123,13.8,13.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,288,TSHE,124,9.4,9.4,53.3,21.0,21.0,15.8,L,Y,2,460,,,None,,,,SOME PITCH FROM HOLES,,,,,
C1-7VB,C1,7,289,TSHE,124,16,15.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,290,TSHE,130,16.9,16.8,48.5,19.1,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,291,TSHE,138,12.7,12.7,31.2,12.3,,,L,Y,3,None,,,None,,,,,,,,,
C1-7VB,C1,7,292,TSHE,140,8.9,8.9,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,294,TSHE,164,8.9,8.7,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
C1-7VB,C1,7,295,TSHE,167,17.4,17,N/A,N/A,N/A,N/A,D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HARVESTED STUMP,,,,,
